City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaqortoq,60.7167,-46.0333,280.98,75,86,2.0,GL,1691700549
1,petropavlovsk-kamchatsky,53.0452,158.6483,282.48,87,0,4.0,RU,1691700549
2,punta arenas,-53.15,-70.9167,276.55,72,100,6.81,CL,1691700289
3,itoman,26.1247,127.6694,300.58,94,20,3.6,JP,1691700549
4,invercargill,-46.4,168.35,274.83,91,100,2.68,NZ,1691700469
5,puerto natales,-51.7236,-72.4875,276.17,80,100,2.81,CL,1691700549
6,owando,-0.4819,15.8999,298.45,63,50,1.3,CG,1691700549
7,blackmans bay,-43.0167,147.3167,282.42,84,100,3.22,AU,1691700549
8,brookings,44.3114,-96.7984,302.14,70,40,7.2,US,1691700534
9,ilulissat,69.2167,-51.1,281.16,76,75,2.06,GL,1691700550
10,port macquarie,-31.4333,152.9167,279.76,68,0,3.64,AU,1691700476
11,stanley,54.868,-1.6985,293.86,84,0,1.54,GB,1691700251
12,grytviken,-54.2811,-36.5092,271.64,97,95,3.29,GS,1691700550
13,dickinson,29.4608,-95.0513,313.22,60,40,4.63,US,1691700550
14,waitangi,-43.9535,-176.5597,284.72,96,77,0.45,NZ,1691700550
15,carnarvon,-24.8667,113.6333,291.24,84,23,1.17,AU,1691700551
16,ushuaia,-54.8,-68.3,273.96,100,75,3.6,AR,1691700515
17,remire-montjoly,4.9167,-52.2667,304.17,70,53,5.14,GF,1691700552
18,adamstown,-25.066,-130.1015,290.86,64,28,11.28,PN,1691700552
19,gbadolite,4.2833,21.0167,293.89,95,96,0.62,CD,1691700552
20,chanute,37.6792,-95.4572,306.18,51,20,3.6,US,1691700552
21,bamboo flat,11.7,92.7167,301.2,83,75,2.57,IN,1691700552
22,hermanus,-34.4187,19.2345,289.2,60,0,1.46,ZA,1691700269
23,port-aux-francais,-49.35,70.2167,277.08,90,100,14.89,TF,1691700384
24,manggar,-2.8833,108.2667,299.36,75,74,4.71,ID,1691700553
25,churachandpur,24.3333,93.6667,293.52,99,100,0.73,IN,1691700553
26,fort bragg,35.139,-79.006,305.83,58,40,5.66,US,1691700553
27,constantia,44.1833,28.65,294.65,60,100,3.18,RO,1691700553
28,magadan,59.5667,150.8,286.46,71,4,1.97,RU,1691700553
29,piton saint-leu,-21.2196,55.3151,291.21,68,0,3.09,RE,1691700554
30,hawaiian paradise park,19.5933,-154.9731,300.22,86,100,0.45,US,1691700554
31,isafjordur,66.0755,-23.124,280.97,78,100,4.46,IS,1691700554
32,arraial do cabo,-22.9661,-42.0278,297.13,83,0,5.66,BR,1691700406
33,ta`u,-14.2336,-169.5144,300.65,73,100,6.99,AS,1691700338
34,thompson,55.7435,-97.8558,292.24,48,75,1.54,CA,1691700554
35,akonolinga,3.7667,12.25,293.58,98,98,1.33,CM,1691700555
36,albertina,-22.2008,-46.6158,295.91,42,25,2.26,BR,1691700555
37,malango,-2.9627,119.9001,292.34,99,100,0.19,ID,1691700555
38,lompoc,34.6391,-120.4579,302.05,71,100,2.24,US,1691700519
39,cuatro cienegas de carranza,26.9833,-102.0833,313.76,15,96,5.27,MX,1691700555
40,luanda,-8.8368,13.2343,295.15,73,0,3.6,AO,1691700555
41,papatowai,-46.5619,169.4708,276.57,82,100,2.38,NZ,1691700556
42,college,64.8569,-147.8028,294.37,88,100,1.54,US,1691700556
43,kolpashevo,58.3131,82.9089,283.82,92,87,2.27,RU,1691700556
44,sisimiut,66.9395,-53.6735,280.68,91,100,3.68,GL,1691700278
45,bethel,41.3712,-73.414,296.49,85,100,0.89,US,1691700556
46,taoudenni,22.6783,-3.9836,313.1,10,10,5.25,ML,1691700556
47,atafu village,-8.5421,-172.5159,301.44,71,31,5.35,TK,1691700556
48,itaituba,-4.2761,-55.9836,308.24,52,20,4.12,BR,1691700414
49,west island,-12.1568,96.8225,298.14,88,100,5.66,CC,1691700557
50,taro,-8.3862,115.28,292.15,85,68,1.59,ID,1691700557
51,olonkinbyen,70.9221,-8.7187,279.98,98,100,5.09,SJ,1691700557
52,dean funes,-30.4204,-64.3498,295.99,31,0,2.66,AR,1691700557
53,guerrero negro,27.9769,-114.0611,300.03,60,6,7.62,MX,1691700392
54,iqaluit,63.7506,-68.5145,282.0,87,40,5.14,CA,1691700558
55,belel,7.05,14.4333,289.22,95,100,0.52,CM,1691700558
56,lycksele,64.5954,18.6735,287.08,82,78,2.57,SE,1691700558
57,gadzhiyevo,69.2551,33.3362,290.28,72,0,5.21,RU,1691700414
